0: (233, 175), (275, 175), (239, 100), (255, 100)
1: (233, 175), (275, 175), (237, 100), (256, 100)
2: (238, 100), (256, 100), (232, 175), (273, 175)
3: (239, 100), (255, 100), (232, 175), (274, 175)
4: (234, 175), (274, 175), (238, 100), (254, 100)
5: (237, 100), (258, 100), (231, 175), (272, 175)
34: (239, 100), (256, 100), (230, 175), (275, 175)
183: (271, 100), (295, 100), (249, 175), (282, 175)
393: (253, 100), (270, 100), (236, 175), (263, 175)
450: (296, 100), (310, 100), (275, 175), (308, 175)
499: (207, 100), (223, 100), (221, 175), (256, 175)
679: (238, 100), (264, 100), (242, 175), (274, 175)
731: (211, 100), (240, 100), (212, 175), (260, 175)
873: (203, 175), (253, 175), (192, 100), (227, 100)
882: (188, 100), (224, 100), (196, 175), (247, 175)
1043: (224, 100), (241, 100), (233, 175), (266, 175)
1129: (232, 100), (246, 100), (224, 175), (247, 175)
1159: (247, 100), (262, 100), (240, 175), (263, 175)
1168: (250, 100), (262, 100), (242, 175), (264, 175)
1321: (238, 100), (251, 100), (229, 175), (264, 175)
1398: (265, 100), (277, 100), (256, 175), (280, 175)
1472: (189, 100), (199, 100), (214, 175), (238, 175)
1491: (177, 100), (190, 100), (190, 175), (218, 175)
1532: (61, 100), (66, 100), (87, 175), (97, 175)
2168: (236, 175), (209, 175), (214, 100), (200, 100)
2329: (219, 100), (243, 100), (223, 175), (257, 175)
2441: (211, 100), (220, 100), (220, 175), (237, 175)
2495: (219, 100), (204, 100), (199, 175), (229, 175)
2515: (201, 100), (216, 100), (199, 175), (220, 175)
2615: (248, 175), (277, 175), (258, 100), (276, 100)
2763: (254, 175), (282, 175), (263, 100), (282, 100)
2998: (224, 100), (250, 100), (220, 175), (263, 175)
3783: (232, 100), (248, 100), (231, 175), (256, 175)
3803: (235, 100), (253, 100), (234, 175), (263, 175)
3931: (232, 100), (249, 100), (231, 175), (261, 175)
4301: (233, 100), (257, 100), (235, 175), (268, 175)
5393: (252, 175), (286, 175), (254, 100), (280, 100)
5761: (233, 100), (248, 100), (231, 175), (250, 175)
6715: (225, 100), (266, 100), (213, 175), (301, 175)
6786: (216, 100), (241, 100), (209, 175), (284, 175)
7056: (258, 100), (288, 100), (264, 175), (305, 175)
7943: (224, 100), (261, 100), (220, 175), (283, 175)
8372: (232, 175), (284, 175), (233, 100), (268, 100)
8533: (195, 100), (256, 100), (172, 175), (258, 175)
8666: (273, 175), (220, 175), (227, 100), (262, 100)
9092: (207, 100), (246, 100), (193, 175), (281, 175)
9300: (246, 100), (276, 100), (233, 175), (282, 175)
9415: (199, 100), (236, 100), (194, 175), (242, 175)
9910: (148, 175), (262, 175), (156, 100), (222, 100)
10111: (220, 100), (242, 100), (209, 175), (276, 175)
10319: (204, 100), (240, 100), (206, 175), (278, 175)
10915: (222, 100), (261, 100), (209, 175), (262, 175)
11295: (204, 175), (257, 175), (211, 100), (251, 100)
11437: (194, 100), (218, 100), (214, 175), (259, 175)
12859: (146, 100), (216, 100), (169, 175), (256, 175)
13693: (195, 100), (244, 100), (174, 175), (247, 175)
13796: (188, 100), (232, 100), (163, 175), (238, 175)
14869: (179, 100), (254, 100), (213, 175), (303, 175)
16045: (214, 100), (248, 100), (217, 175), (265, 175)
16698: (179, 100), (232, 100), (194, 175), (265, 175)
17063: (287, 175), (210, 175), (221, 100), (274, 100)
17177: (154, 100), (234, 100), (199, 175), (290, 175)
17301: (170, 100), (258, 100), (181, 175), (294, 175)
17637: (285, 175), (175, 175), (211, 100), (287, 100)
17773: (298, 175), (190, 175), (194, 100), (268, 100)
19033: (214, 175), (297, 175), (251, 100), (304, 100)
19421: (205, 100), (235, 100), (220, 175), (266, 175)
19468: (199, 100), (243, 100), (207, 175), (266, 175)
20019: (197, 100), (266, 100), (194, 175), (318, 175)
20428: (280, 100), (347, 100), (227, 175), (306, 175)
20614: (295, 175), (222, 175), (253, 100), (194, 100)
21639: (142, 100), (182, 100), (136, 175), (206, 175)
22970: (195, 100), (236, 100), (185, 175), (258, 175)
23572: (220, 175), (334, 175), (284, 100), (344, 100)
23788: (304, 175), (176, 175), (257, 100), (315, 100)
24062: (270, 100), (317, 100), (247, 175), (313, 175)
24360: (198, 100), (238, 100), (205, 175), (268, 175)
25962: (166, 100), (231, 100), (194, 175), (290, 175)
26561: (247, 100), (285, 100), (212, 175), (305, 175)
26592: (244, 100), (272, 100), (240, 175), (296, 175)
27509: (235, 100), (278, 100), (210, 175), (271, 175)
27522: (230, 175), (296, 175), (257, 100), (296, 100)
27728: (278, 175), (219, 175), (259, 100), (223, 100)
28045: (280, 100), (321, 100), (245, 175), (315, 175)
28132: (215, 100), (255, 100), (217, 175), (279, 175)
28150: (214, 100), (250, 100), (220, 175), (275, 175)
28235: (190, 100), (232, 100), (190, 175), (250, 175)
28666: (205, 100), (235, 100), (205, 175), (250, 175)
29357: (208, 100), (258, 100), (215, 175), (286, 175)
30254: (216, 100), (254, 100), (207, 175), (263, 175)
30769: (179, 100), (229, 100), (168, 175), (229, 175)
30901: (244, 100), (284, 100), (226, 175), (274, 175)
31643: (222, 175), (277, 175), (229, 100), (252, 100)
31799: (287, 175), (226, 175), (237, 100), (274, 100)
31852: (217, 175), (278, 175), (227, 100), (263, 100)
32485: (211, 100), (258, 100), (220, 175), (275, 175)
32945: (186, 100), (251, 100), (175, 175), (286, 175)
33113: (210, 100), (265, 100), (283, 175), (199, 175)
33176: (246, 100), (279, 100), (243, 175), (292, 175)
34879: (239, 100), (265, 100), (250, 175), (285, 175)
35119: (208, 100), (257, 100), (213, 175), (276, 175)
35175: (239, 100), (284, 100), (216, 175), (302, 175)
35772: (224, 100), (261, 100), (231, 175), (274, 175)
36173: (219, 100), (249, 100), (211, 175), (257, 175)
36322: (217, 100), (248, 100), (220, 175), (259, 175)
36771: (230, 100), (267, 100), (238, 175), (285, 175)
37367: (231, 100), (273, 100), (286, 175), (218, 175)
37541: (239, 100), (279, 100), (225, 175), (289, 175)
37795: (219, 100), (265, 100), (211, 175), (284, 175)
37890: (212, 175), (286, 175), (273, 100), (228, 100)
38050: (235, 100), (268, 100), (225, 175), (287, 175)
38299: (219, 100), (256, 100), (215, 175), (269, 175)
38424: (215, 100), (240, 100), (220, 175), (262, 175)
38449: (228, 100), (257, 100), (225, 175), (267, 175)
39498: (205, 100), (229, 100), (220, 175), (261, 175)
39655: (231, 100), (253, 100), (232, 175), (270, 175)
40093: (235, 175), (263, 175), (234, 100), (254, 100)
40736: (270, 100), (299, 100), (238, 175), (287, 175)
41184: (230, 100), (260, 100), (224, 175), (272, 175)
41490: (236, 100), (201, 100), (197, 175), (247, 175)
41885: (240, 100), (260, 100), (244, 175), (287, 175)
42108: (245, 100), (275, 100), (224, 175), (277, 175)
42178: (268, 100), (291, 100), (237, 175), (273, 175)
42358: (226, 100), (251, 100), (222, 175), (262, 175)
44214: (218, 100), (262, 100), (215, 175), (279, 175)
